work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023-01-01,Senior,Full time,Principal Data Scientist,80000.0,Euro,85847.0,ESP,Fully remote,ESP,Large
2023-01-01,Middle,Contract,ML Engineer,30000.0,US Dollar,30000.0,USA,Fully remote,USA,Small
2023-01-01,Senior,Full time,Data Scientist,175000.0,US Dollar,175000.0,CAN,Fully remote,CAN,Middle
2023-01-01,Senior,Full time,Data Scientist,120000.0,US Dollar,120000.0,CAN,Fully remote,CAN,Middle
2023-01-01,Senior,Full time,Applied Scientist,222200.0,US Dollar,222200.0,USA,Not remote,USA,Large
2023-01-01,Senior,Full time,Applied Scientist,136000.0,US Dollar,136000.0,USA,Not remote,USA,Large
2023-01-01,Senior,Full time,Data Scientist,141000.0,US Dollar,141000.0,CAN,Not remote,CAN,Middle
2023-01-01,Senior,Full time,Data Scientist,147100.0,US Dollar,147100.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Scientist,90700.0,US Dollar,90700.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Analyst,130000.0,US Dollar,130000.0,USA,Fully remote,USA,Middle
2023-01-01,Senior,Full time,Data Analyst,100000.0,US Dollar,100000.0,USA,Fully remote,USA,Middle
2023-01-01,Junior,Full time,Applied Scientist,213660.0,US Dollar,213660.0,USA,Not remote,USA,Large
2023-01-01,Junior,Full time,Applied Scientist,130760.0,US Dollar,130760.0,USA,Not remote,USA,Large
2023-01-01,Senior,Full time,Data Modeler,147100.0,US Dollar,147100.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Modeler,90700.0,US Dollar,90700.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Scientist,170000.0,US Dollar,170000.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Scientist,150000.0,US Dollar,150000.0,USA,Not remote,USA,Middle
2023-01-01,Middle,Full time,Data Analyst,150000.0,US Dollar,150000.0,USA,Fully remote,USA,Middle
2023-01-01,Middle,Full time,Data Analyst,110000.0,US Dollar,110000.0,USA,Fully remote,USA,Middle
2023-01-01,Senior,Full time,Research Engineer,275000.0,US Dollar,275000.0,DEU,Not remote,DEU,Middle
2023-01-01,Senior,Full time,Research Engineer,174000.0,US Dollar,174000.0,DEU,Not remote,DEU,Middle
2023-01-01,Senior,Full time,Analytics Engineer,230000.0,US Dollar,230000.0,GBR,Fully remote,GBR,Middle
2023-01-01,Senior,Full time,Analytics Engineer,143200.0,US Dollar,143200.0,GBR,Fully remote,GBR,Middle
2023-01-01,Senior,Full time,Business Intelligence Engineer,225000.0,US Dollar,225000.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Business Intelligence Engineer,156400.0,US Dollar,156400.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Machine Learning Engineer,200000.0,US Dollar,200000.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Machine Learning Engineer,130000.0,US Dollar,130000.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Strategist,90000.0,US Dollar,90000.0,CAN,Not remote,CAN,Middle
2023-01-01,Senior,Full time,Data Strategist,72000.0,US Dollar,72000.0,CAN,Not remote,CAN,Middle
2023-01-01,Senior,Full time,Data Engineer,253200.0,US Dollar,253200.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Data Engineer,90700.0,US Dollar,90700.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Computer Vision Engineer,342810.0,US Dollar,342810.0,USA,Not remote,USA,Middle
2023-01-01,Senior,Full time,Computer Vision Engineer,184590.0,US Dollar,184590.0,USA,Not remote,USA,Middle
2023-01-01,Middle,Full time,Data Engineer,162500.0,US Dollar,162500.0,USA,Not remote,USA,Middle
2023-01-01,Middle,Full time,Data Engineer,130000.0,US Dollar,130000.0,USA,Not remote,USA,Middle
2023-01-01,Middle,Full time,Data Analyst,105380.0,US Dollar,105380.0,USA,Not remote,USA,Middle
2023-01-01,Middle,Full time,Data Analyst,64500.0,US Dollar,64500.0,USA,Not remote,USA,Middle
2023-01-01,Junior,Full time,Data Quality Analyst,100000.0,US Dollar,100000.0,NGA,Fully remote,NGA,Large
2023-01-01,Junior,Full time,Compliance Data Analyst,30000.0,US Dollar,30000.0,NGA,Fully remote,NGA,Large
2022-01-01,Middle,Full time,Machine Learning Engineer,1650000.0,Indian Rupee,20984.0,IND,Partially remote,IND,Large
